Reg. code;Region;IPI.2014;PIM.2014;DDFA.2014;FCI.2013;DLR.2014;;;;;
15;Республика Северная Осетия – Алания;97,7;99;47,6;40860;16596;;;;;
20;Чеченская Республика ;102,6;106,9;49,4;33410;18034;;;;;
26;Ставропольский край;102,4;100,1;49,5;46777;145707;;;;;
1005;Приволжский федеральный округ;102,5;103,8;53,3;77340;2322975;;;;;
2;Республика Башкортостан;103,9;104;53,3;65529;217713;;;;;
12;Республика Марий Эл;113,4;115,5;60,2;66971;56850;;;;;
13;Республика Мордовия;110,8;111,6;56,9;65877;93078;;;;;
16;Республика Татарстан;101,3;101,9;44,2;137262;464622;;;;;
18;Удмуртская Республика;99,2;97;62;54488;75679;;;;;
21;Чувашская Республика;104,7;106;56;48418;94561;;;;;
59;Пермский край;103,9;104;60,3;83290;278889;;;;;
43;Кировская область;103,9;102,8;51;44605;60449;;;;;
52;Нижегородская область;100,6;101,6;48,7;85488;300986;;;;;
56;Оренбургская область;101,2;109,1;58,1;75970;115915;;;;;
58;Пензенская область;108,3;110,2;49,7;60210;66072;;;;;
63;Самарская область;99,4;97,8;53,4;83972;291841;;;;;
64;Саратовская область;107,6;120,3;53,8;50335;139772;;;;;
73;Ульяновская область;102,9;103,7;48;60452;66548;;;;;
1006;Уральский федеральный округ;100,7;103,5;60,4;177459;1230008;;;;;
45;Курганская область;97,7;91,4;52,8;37673;32066;;;;;
66;Свердловская область;102,1;101,7;58,5;81727;434380;;;;;
72;Тюменская область;99,8;110,7;61,7;444021;454506;;;;;
;в том числе:;;;;;;;;;;
86;Ханты-Мансийский автономный округ – Югра;98,7;103,5;66,3;451934;134823;;;;;
89;Ямало-Ненецкий автономный округ;100;113,1;58,5;1115700;121161;;;;;
72;Тюменская область без автономных округов;112,9;118,8;47,6;175111;198522;;;;;
74;Челябинская область;104;103,3;48;61635;309056;;;;;
1007;Сибирский федеральный округ;102,7;102,6;41,8;74615;1269114;;;;;
4;Республика Алтай;105,6;101,6;27,2;56175;12532;;;;;
3;Республика Бурятия;102,9;100,9;33,5;43158;56396;;;;;
17;Республика Тыва;108,5;106,7;34,2;44805;3914;;;;;
19;Республика Хакасия;95,2;102,5;30,4;60193;16213;;;;;
22;Алтайский край;98,9;98,5;42;39498;130652;;;;;
75;Забайкальский край;104,6;93,9;35,1;52583;20364;;;;;
24;Красноярский край;102,3;101,3;39,3;132263;253406;;;;;
38;Иркутская область;104,4;102,5;43,5;82664;138646;;;;;
42;Кемеровская область;105,7;109,5;43,4;79507;210421;;;;;
54;Новосибирская область;100,3;100,4;42,7;67638;217452;;;;;
55;Омская область;103,5;104;42,6;53516;127647;;;;;
70;Томская область;100,5;110,6;53,1;96265;81471;;;;;
1008;Дальневосточный федеральный округ;106,7;102,7;35;135027;486377;;;;;
14;Республика Саха (Якутия);104,9;95,1;36,6;203045;71084;;;;;
41;Камчатский край;104,4;97,4;33,5;102147;26912;;;;;
25;Приморский край;107,1;105,5;29,8;63339;178578;;;;;
27;Хабаровский край;102,5;105,5;30,9;111915;118161;;;;;
28;Амурская область;98,3;106,2;34,9;125297;34991;;;;;
49;Магаданская область;109;90,1;40,4;250299;17928;;;;;
65;Сахалинская область;106,1;94,8;37,8;356857;28818;;;;;
79;Еврейская автономная область;113,3;113;30;83526;3380;;;;;
87;Чукотский автономный округ;138,5;96,3;46,3;252708;6525;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
