Reg. code;Region;FO;IPI.2014;PIM.2014;DDFA.2014;FCI.2013;DLR.2014
52;Нижегородская область;ПФО;100.6;101.6;48.7;85488;300986
56;Оренбургская область;ПФО;101.2;109.1;58.1;75970;115915
58;Пензенская область;ПФО;108.3;110.2;49.7;60210;66072
63;Самарская область;ПФО;99.4;97.8;53.4;83972;291841
64;Саратовская область;ПФО;107.6;120.3;53.8;50335;139772
73;Ульяновская область;ПФО;102.9;103.7;48;60452;66548
1006;Уральский федеральный округ;УФО;100.7;103.5;60.4;177459;1230008
45;Курганская область;УФО;97.7;91.4;52.8;37673;32066
66;Свердловская область;УФО;102.1;101.7;58.5;81727;434380
86;Ханты-Мансийский автономный округ – Югра;УФО;98.7;103.5;66.3;451934;134823
89;Ямало-Ненецкий автономный округ;УФО;100;113.1;58.5;1115700;121161
72;Тюменская область ;УФО;112.9;118.8;47.6;175111;198522
74;Челябинская область;УФО;104;103.3;48;61635;309056
1007;Сибирский федеральный округ;СФО;102.7;102.6;41.8;74615;1269114
4;Республика Алтай;СФО;105.6;101.6;43888;56175;12532
3;Республика Бурятия;СФО;102.9;100.9;33.5;43158;56396
17;Республика Тыва;СФО;108.5;106.7;34.2;44805;3914
19;Республика Хакасия;СФО;95.2;102.5;43951;60193;16213
22;Алтайский край;СФО;98.9;98.5;42;39498;130652
75;Забайкальский край;СФО;104.6;93.9;35.1;52583;20364
24;Красноярский край;СФО;102.3;101.3;39.3;132263;253406
38;Иркутская область;СФО;104.4;102.5;43.5;82664;138646
42;Кемеровская область;СФО;105.7;109.5;43.4;79507;210421
54;Новосибирская область;СФО;100.3;100.4;42.7;67638;217452
55;Омская область;СФО;103.5;104;42.6;53516;127647
70;Томская область;СФО;100.5;110.6;53.1;96265;81471
1008;Дальневосточный федеральный округ;ДФО;106.7;102.7;35;135027;486377
14;Республика Саха (Якутия);ДФО;104.9;95.1;36.6;203045;71084
41;Камчатский край;ДФО;104.4;97.4;33.5;102147;26912
25;Приморский край;ДФО;107.1;105.5;44072;63339;178578
27;Хабаровский край;ДФО;102.5;105.5;44104;111915;118161
28;Амурская область;ДФО;98.3;106.2;34.9;125297;34991
49;Магаданская область;ДФО;109;90.1;40.4;250299;17928
65;Сахалинская область;ДФО;106.1;94.8;37.8;356857;28818
79;Еврейская автономная область;ДФО;113.3;113;30;83526;3380
87;Чукотский автономный округ;ДФО;138.5;96.3;46.3;252708;6525
